artist_name,title,artist_location,release,hotttness,familiarity,danceability,duration,energy,loudness,year,tempo,analysis_rate,end_of_fade_in,key,key_confidence,mode,mode_confidence,start_of_fade_out,time_signature,time_signature_conf,track_id
Casual,I Didn't Mean To,California - LA,Fear Itself,0.4019975433642836,0.5817937658450281,0.0,218.93179,0.0,-11.197,0,92.198,22050,0.247,1,0.736,0,0.636,218.932,4,0.778,0
The Box Tops,Soul Deep,Memphis - TN,Dimensions,0.4174996449709784,0.6306300375898077,0.0,148.03546,0.0,-9.843,1969,121.274,22050,0.148,6,0.169,0,0.43,137.915,4,0.384,1
Sonora Santanera,Amor De Cabaret,,Las Numero 1 De La Sonora Santanera,0.34342837829688244,0.4873567909281477,0.0,177.47546,0.0,-9.689,0,100.07,22050,0.282,8,0.643,1,0.565,172.304,1,0.0,2
Adam Ant,Something Girls,London - England,Friend Or Foe,0.4542311565706205,0.6303823341467806,0.0,233.40363,0.0,-9.013,1982,119.293,22050,0.0,0,0.751,1,0.749,217.124,4,0.0,3
Gob,Face the Ashes,,Muertos Vivos,0.40172368550367865,0.6510456608317947,0.0,209.60608,0.0,-4.501,2007,129.738,22050,0.066,2,0.092,1,0.371,198.699,4,0.562,4
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),,Ordinary Day,0.385470550555821,0.5352927355118197,0.0,267.7024,0.0,-9.323,0,147.782,22050,2.264,5,0.635,1,0.557,254.27,3,0.454,5
Rated R,Keepin It Real (Skit),Ohio,Da Ghetto Psychic,0.2619411773808474,0.5564956019129572,0.0,114.78159,0.0,-17.302,0,111.787,22050,0.096,1,0.0,1,0.0,114.782,1,0.0,6
Tweeterfriendly Music,Drop of Rain,Burlington - Ontario - Canada,Gin & Phonic,0.6055071356905752,0.8011364469966873,0.0,189.57016,0.0,-11.642,0,101.43,22050,0.319,4,0.0,0,0.16,181.023,3,0.408,7
Planet P Project,Pink World,,Pink World,0.33227574659906806,0.42666785706940524,0.0,269.81832,0.0,-13.496,1984,86.643,22050,5.3,4,0.717,1,0.652,258.99,4,0.487,8
Clp,Insatiable (Instrumental Version),,Superinstrumental,0.42270564102939107,0.5505136978482137,0.0,266.39628,0.0,-6.697,0,114.041,22050,0.084,7,0.053,0,0.473,261.747,4,0.878,9
JennyAnyKind,Young Boy Blues,North Carolina,I Need You,0.29626895431146333,0.3600311664643514,0.0,218.77506,0.0,-10.021,0,146.765,22050,2.125,5,0.354,0,0.485,207.012,1,0.0,10
Wayne Watson,The Urgency (LP Version),Wisner - LA,The Way Home,0.35155586118563925,0.5451592956008632,0.0,245.21098,0.0,-7.545,0,117.975,22050,0.357,7,0.07,1,0.686,227.48,4,0.835,11
Andy Andy,La Culpa,,Placer & Castigo,0.3794821702804675,0.5775089743252977,0.0,226.35057,0.0,-6.632,0,130.04,22050,0.0,9,0.205,1,0.305,221.553,4,0.0,12
Bob Azzam,Auguri Cha Cha,,Arrivederci,0.25193652476242323,0.08551204710857879,0.0,191.84281,0.0,-7.75,0,137.334,22050,0.38,10,0.0,0,0.198,188.424,1,0.319,13
Lionel Richie,Tonight Will Be Alright,Beverly Hills - CA,Dancing On The Ceiling,0.5530719914619753,0.7766758556845541,0.0,307.3824,0.0,-8.346,1986,125.197,22050,0.612,3,0.524,1,0.533,296.658,3,0.211,14
Blue Rodeo,Floating,Toronto - Ontario - Canada,Outskirts,0.4479354804795022,0.6364236449500698,0.0,491.12771,0.0,-8.576,1987,119.826,22050,0.0,7,1.0,1,0.829,486.034,4,0.756,15
Richard Souther,High Tide,United States,Cross Currents,0.33080635685585685,0.4199431484349393,0.0,228.5971,0.0,-16.11,0,127.756,22050,0.223,8,0.041,1,0.516,217.426,5,0.579,16
Faiz Ali Faiz,Sohna Nee Sohna Data,,Panjtan Ka Ghulam,0.30667609347902947,0.3632805711099885,0.0,599.24853,0.0,-8.032,0,99.273,22050,1.193,6,0.06,1,0.346,591.999,4,0.158,17
Tesla,Caught In A Dream,,Gold,0.5134632897021558,0.7071997638379363,0.0,290.29832,0.0,-5.271,2004,150.062,22050,0.145,7,0.725,1,0.756,285.605,4,0.931,18
lextrical,Synthetic Dream,,Whatever Happened To Boredom?,0.0,0.32031437017067216,0.0,165.69424,0.0,-6.787,0,138.331,22050,0.162,7,0.011,1,0.568,157.391,4,0.127,19
Jimmy Wakely,Broken-Down Merry-Go-Round,Mineola - AR,1942-1952 Jimmy Wakely,0.29153972708877773,0.39413853984589253,0.0,151.84934,0.0,-15.221,0,86.186,22050,2.827,1,0.799,1,0.716,146.199,3,0.929,20
Alice Stuart,Kassie Jones,Washington,All The Good Times,0.3285530150180186,0.4898162689820407,0.0,220.78649,0.0,-8.514,0,110.382,22050,0.206,11,0.809,1,0.521,207.656,1,0.192,21
Elena,Setanta matins,Dubai UAE,Un cafe_ setanta matins,0.37825468551016656,0.6774204652262298,0.0,269.58322,0.0,-8.05,0,111.874,22050,0.0,2,0.596,1,0.666,256.168,4,1.0,22
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Morris Plains - NJ,Miss Machine,0.5418889720336469,0.839962768151037,0.0,207.77751,0.0,-4.264,2004,166.862,22050,0.061,7,0.381,1,0.453,204.696,4,0.0,23
SUE THOMPSON,James (Hold The Ladder Steady),Nevada - MO,Sue Thompson - Her Very Best,0.3062422642462862,0.43541581815506936,0.0,124.86485,0.0,-12.332,1985,137.522,22050,0.0,10,0.697,1,0.541,115.74,4,0.0,24
Five Bolt Main,Made Like This (Live),,Live,0.3636513650591166,0.6090637000310501,0.0,225.09669,0.0,-5.908,0,164.672,22050,0.0,7,0.53,1,0.512,225.097,1,0.0,25
Clp,Superconfidential,,Strictly Confidential,0.42270564102939107,0.5505136978482137,0.0,338.31138,0.0,-6.486,0,125.006,22050,0.0,6,0.687,0,0.486,338.311,4,1.0,26
Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),Georgia,The Real Twang Thang,0.3499126116745628,0.4597971288376104,0.0,186.48771,0.0,-4.516,2005,90.022,22050,1.083,5,0.762,1,0.539,175.467,1,0.971,27
Willie Bobo,Spanish Grease,New York - NY [Spanish Harlem],Willie Bobo's Finest Hour,0.3796711247498673,0.5888271005018058,0.0,168.25424,0.0,-9.616,1997,127.025,22050,0.2,8,0.812,1,0.736,161.89,4,0.792,28
Faye Adams,Crazy Mixed Up World,Newark - NJ,Shake A Hand,0.2992303679293693,0.3964552539172961,0.0,156.39465,0.0,-18.051,1961,95.957,22050,0.562,8,0.569,1,0.495,150.634,3,0.689,29
Terry Callier,Do You Finally Need A Friend,Chicago,Occasional Rain,0.4161730646266773,0.7068276713044582,0.0,342.56934,0.0,-11.939,1972,110.189,22050,0.063,6,0.381,1,0.538,333.154,3,0.353,30
John Wesley,The Emperor Falls,Brandon,The Emperor Falls,0.45278947675222264,0.5605579839038146,0.0,484.62322,0.0,-15.335,0,138.007,22050,28.172,4,0.283,0,0.363,480.363,4,0.893,31
The Shangri-Las,Twist and Shout,Queens - NY,Best of The Shangri-Las,0.4182165181949368,0.6408071019636729,0.0,164.80608,0.0,-10.922,1964,130.1,22050,0.0,10,0.254,1,0.042,156.177,1,0.0,32
Billie Jo Spears,It Makes No Difference Now,Beaumont - TX,20 Of Her Best,0.3846110839616365,0.5237146369702328,0.0,133.32853,0.0,-9.983,1992,160.839,22050,0.0,4,0.384,1,0.402,130.009,1,0.0,33
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),Houston - TX,Who Is Mike Jones?,0.42631795640769016,0.7936050803712417,0.0,173.66159,0.0,-7.762,0,41.993,22050,0.0,7,0.299,1,0.464,164.908,1,0.0,34
Sierra Maestra,¿Dónde va Chichi?,,Tibiri Tabara,0.39273367554668775,0.5015447771039371,0.0,313.12934,0.0,-9.512,1997,189.646,22050,0.0,9,0.724,1,0.364,307.688,3,0.674,35
Butthole Surfers,Barking Dogs (From "Piouhgd"),San Antonio - TX,Piouhgd + Widowermaker!,0.48801984168567314,0.8093237930019529,0.0,450.84689,0.0,-9.063,0,130.586,22050,0.467,4,0.726,0,0.367,426.104,4,0.42,36
Despina Vandi,OUTE ENA EFHARISTO,,Profities,0.41168895978577885,0.632559542284651,0.0,303.09832,0.0,-8.879,0,128.292,22050,0.067,8,0.532,0,0.516,294.818,4,0.83,37
Javier Navarrete,Midnight Swim,,Cracks,0.38265197113973687,0.5975412179723806,0.0,128.83546,0.0,-17.699,0,90.932,22050,0.0,3,0.0,1,0.251,121.423,3,1.0,38
Jacob Young,In A Subtle Way,,Pieces Of Time,0.294861261887382,0.49544592177023467,0.0,456.30649,0.0,-19.478,0,89.667,22050,0.241,1,0.611,1,0.546,451.315,4,0.747,39
Scarlet's Remains,Spin,California - LA,The Palest Grey,0.3931219335710068,0.5278650761586818,0.0,198.73914,0.0,-7.469,2007,115.061,22050,0.0,7,0.673,1,0.579,193.016,4,0.731,40
The Suicide Machines,Burning In The Aftermath,Detroit - MI,A Match & Some Gasoline,0.4675384440100101,0.6686745328613157,0.0,95.68608,0.0,-2.022,2003,115.887,22050,0.0,2,0.421,1,0.589,87.806,4,0.744,41
The Rolling Stones,Angie (1993 Digital Remaster),London - England,Jump Back - The Best Of The Rolling Stones_ '71-'93,0.7357656929506414,0.8148296561331122,0.0,271.49016,0.0,-10.358,0,139.333,22050,0.171,9,0.301,0,0.392,263.784,1,0.0,42
Roberto Torres,Sabor Guajiro,,Lo Mejor con La Orq. Broadway,0.3500785789894733,0.4823560425909108,0.0,226.66404,0.0,-12.716,0,117.271,22050,0.311,0,0.863,1,0.671,219.51,4,0.453,43
Loudon Wainwright III,Human Cannonball,Chapel Hill - NC,Grown Man,0.4427658420289504,0.6610801676039384,0.0,190.48444,0.0,-15.663,1995,102.428,22050,0.258,3,0.544,1,0.596,177.029,4,0.496,44
R.L. Burnside,Glory Be,Oxford - MS,A Bothered Mind,0.4666288889016846,0.7011808736075507,0.0,277.78567,0.0,-6.944,2004,89.984,22050,0.24,2,0.0,1,0.0,267.453,4,0.0,45
Stevie Ray Vaughan,Crossfire,Dallas - TX,Greatest Hits,0.544257505724526,0.7337989404362274,0.0,248.78975,0.0,-7.805,1992,116.721,22050,0.183,1,0.754,1,0.597,246.19,4,0.522,46
John Hammond,I Can't Be Satisfied,,Bluesman,0.45281783769711387,0.5906929179471623,0.0,195.3171,0.0,-10.7,2002,123.142,22050,0.0,7,0.98,1,0.753,187.617,4,0.678,47
Casiotone For The Painfully Alone,Nashville Parthenon,,Etiquette,0.3942171989010042,0.6653221619060184,0.0,175.72526,0.0,-10.93,2006,141.919,22050,0.734,0,0.522,1,0.474,168.699,4,0.445,48
Ec8or,Cocain Ducks,Berlin - Germany,Ec8or,0.3345773601190987,0.5040756699303163,0.0,217.23383,0.0,-9.493,1995,95.596,22050,1.042,10,0.005,0,0.305,213.496,4,1.0,49
The New York Dolls,Human Being,New York - NY,Too Much Too Soon,0.4793084593382274,0.717670524728552,0.0,344.05832,0.0,-9.253,1974,154.953,22050,0.068,11,0.425,1,0.486,335.029,1,0.0,50
